Bureau of Justice Statistics,,,,,,,,,,,
File name: p15at03.csv,,,,,,,,,,,
"Appendix Table 3. Prisoners under the jurisdiction of state or federal correctional authorities, by race and Hispanic origin, December 31, 2015",,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,
,,,,,,,,,,,
"Appendix Table 3. Prisoners under the jurisdiction of state or federal correctional authorities, by race and Hispanic origin, December 31, 2015",,,,,,,,,,,
Jurisdiction,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/ Other Pacific Islander/a,Two or more races/a,Other/a,Not known,Did not report
New Hampshire,"2,897","2,582",123,91,5,19,0,~,21,56,0
New Jersey,"20,489","4,621","12,303","3,270",11,120,0,/,0,164,0
New Mexico,"7,169","1,752",508,"4,275",493,14,16,0,0,46,65
New York,"51,727","12,602","25,145","12,393",415,250,/,/,618,304,0
North Carolina,"36,617","14,080","19,462","1,860",946,116,15,~,~,138,0
North Dakota,"1,795","1,181",141,102,357,8,0,6,~,0,0
Ohio,"52,233","27,483","23,141","1,279",65,77,~,~,~,188,0
Oklahoma,"28,547","15,451","7,464","2,070","3,081",81,24,/,52,0,324
Oregon/e,"14,636",/,/,/,/,/,/,/,/,/,/
Pennsylvania,"49,858","20,601","23,764","5,147",52,138,~,0,0,156,0
Rhode Island/c,"3,248","1,379",968,800,26,47,~,~,26,2,0
South Carolina,"20,929","7,284","13,008",438,36,20,0,~,141,2,0
South Dakota,"3,564","2,129",240,141,"1,038",12,2,0,2,0,0
Tennessee,"28,172","15,112","12,366",588,36,64,/,/,/,6,0
Texas,"163,909","53,390","54,941","54,696",118,515,~,~,249,0,0
Utah,"6,492","4,243",422,"1,213",297,72,138,0,0,107,0
Vermont/e,"1,750","1,498",175,5,13,10,0,0,0,49,0
Virginia/c,"38,403","15,276","21,981",961,25,143,~,~,~,17,0
Washington,"18,284","11,111","3,237","2,337",805,638,/,/,48,108,0
West Virginia,"7,118","6,226",815,8,15,5,2,47,~,~,0
Wisconsin,"22,975","10,604","9,330","2,034",762,232,0,0,0,13,0
Wyoming,"2,424","1,860",127,295,129,8,3,0,2,0,0
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held or length of sentence. Federal data include prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities. Estimates provided by state and federal departments of corrections’ administrative record systems, and may not reflect prisoners’ self-identification of race or Hispanic origin. State, federal, and national totals by race and Hispanic origin will differ from other tables in this report due to adjustments made by BJS to correct for differences between administrative records and prisoner self-report of racial and ethnic identity.",,,,,,,,,,,
~Not applicable. State does not track this race or Hispanic origin.,,,,,,,,,,,
/Not reported.,,,,,,,,,,,
a/Excludes persons of Hispanic or Latino origin.,,,,,,,,,,,
b/Prisoners of Hispanic origin are included in the individual racial categories.,,,,,,,,,,,
"c/Asian and Native Hawaiian, and Other Pacific Islanders combined in a single category and reported as Asian.",,,,,,,,,,,
d/Number of persons of Hispanic origin may be an undercount due to ongoing changes in information systems.,,,,,,,,,,,
e/State did not submit 2015 data to National Prisoner Statistics on race or Hispanic origin. Counts were imputed. See Methodology.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2015.",,,,,,,,,,,
